City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Panama City,PA,298.31,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
143,Nemuro,JP,291.46,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
146,Paramonga,PE,289.93,broken clouds,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
147,Hervey Bay,AU,292.43,clear sky,-25.2986,152.8535,Shelly Bay Resort
149,Lazaro Cardenas,MX,299.76,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
151,Mildura,AU,289.3,broken clouds,-34.2,142.15,Mercure Hotel Mildura
152,Avarua,CK,298.18,scattered clouds,-21.2078,-159.775,Paradise Inn
154,Mikkeli,FI,288.79,scattered clouds,61.6886,27.2723,"Original Sokos Hotel Vaakuna, Mikkeli"
156,Santa Maria,BR,288.76,fog,-29.6842,-53.8069,Hotel Morotin
157,Bambous Virieux,MU,293.83,scattered clouds,-20.3428,57.7575,Casa Tia Villa
158,Praya,CV,299.45,few clouds,14.9215,-23.5087,LT Aparthotel
161,Kruisfontein,ZA,284.11,clear sky,-34.0033,24.7314,Oyster Bay House Rental
162,Shelburne,CA,293.4,few clouds,44.0787,-80.2041,The Retreat at the Farm
163,Nizhnevartovsk,RU,291.16,clear sky,60.9344,76.5531,Luch
164,Bay Roberts,CA,291.11,clear sky,47.5999,-53.2648,Stonewall Inn
166,Barkot,IN,295.69,overcast clouds,30.8167,78.2,Camp Nirvana®
167,Esperance,AU,291.94,clear sky,-33.8667,121.9,Hospitality Esperance
168,Ribeira Grande,PT,295.66,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
169,Progreso,MX,297.1,broken clouds,21.2833,-89.6667,Playa Linda Hotel
173,Hermanus,ZA,285.26,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
174,Ranfurly,NZ,279.88,overcast clouds,-45.1333,170.1,Ranfurly Holiday Park Motels & Cabins
180,Roebourne,AU,299.42,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
181,Ouesso,CG,294.65,broken clouds,1.6136,16.0517,ABENIE Hotel
182,Khatanga,RU,295.59,overcast clouds,71.9667,102.5,"""Khatanga"""
184,Salalah,OM,298.2,haze,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
185,Surt,LY,298.76,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
186,Neka,IR,297.88,mist,36.6508,53.299,گالری گل وندا
187,Svetlyy,RU,288.18,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
188,Harboore,DK,284.92,scattered clouds,56.6175,8.1807,Harboøre Hotel
189,Lira,UG,289.46,light rain,2.235,32.9097,ST Lira Hotel Limited
192,Mana,GF,297.47,overcast clouds,5.6592,-53.7767,LE SAMANA
195,Tiksi,RU,294.5,overcast clouds,71.6872,128.8694,Arktika
196,Natal,BR,296.27,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
197,Thompson,CA,288.24,broken clouds,55.7435,-97.8558,Burntwood Hotel
198,Itaituba,BR,298.76,broken clouds,-4.2761,-55.9836,Hotel Campos
200,Kazanskaya,RU,293.97,clear sky,45.4106,40.4361,Tikhiy Dvorik
201,Amboasary,MG,290.7,few clouds,-25.0333,46.3833,Le Bon Samaritain
202,Nanga Eboko,CM,292.95,overcast clouds,4.6833,12.3667,Motel Papi Palace
205,Hamilton,US,297.91,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
206,Tuatapere,NZ,280.2,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
207,Coquimbo,CL,285.0,broken clouds,-29.9533,-71.3436,Hotel San Juan
208,Fort Nelson,CA,299.92,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
209,Lata,PT,285.9,clear sky,40.1629,-8.3327,Casa Maquia
210,Skjervoy,NO,283.15,light rain,70.0311,20.9714,Skjervøy fiskecamp AS
213,Sabha,LY,299.28,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
214,Plettenberg Bay,ZA,286.25,clear sky,-34.0527,23.3716,Thanda Vista B&B
215,Bandundu,CD,295.8,broken clouds,-3.3167,17.3667,Coja Color
216,Santiago,CL,284.98,broken clouds,-33.4569,-70.6483,Hotel Panamericano
217,Tinglev,DK,286.34,overcast clouds,54.931000000000004,9.2524,Uge Lystfiskeri og Camping
218,Baracoa,CU,299.01,broken clouds,20.3467,-74.4958,Hostal Rio Miel
219,Kaeo,NZ,289.44,scattered clouds,-35.1,173.7833,Bushido Lodge
222,Fare,PF,298.69,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
223,Polson,US,298.02,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
224,Westport,US,297.64,clear sky,41.1415,-73.3579,The Westport Inn
226,Plymouth,US,295.83,clear sky,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
227,Vila,PT,284.64,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
228,Ponta Delgada,PT,295.55,light intensity drizzle,37.7333,-25.6667,Vila Nova Hotel
231,Chornyanka,UA,296.63,clear sky,46.6522,33.359,Zolotoy Fazan
232,Nanortalik,GL,278.87,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
233,Itarema,BR,298.59,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
234,Lompoc,US,291.23,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
235,Palmas,BR,295.08,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
237,Andenes,NO,282.14,light intensity drizzle,69.3143,16.1194,Hotell Marena
238,Garoua,CM,295.57,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
239,San Isidro,PE,289.27,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
240,Gimbi,ET,285.74,moderate rain,9.1667,35.8333,Sam home
242,Carbonia,IT,296.51,clear sky,39.1672,8.5222,Lu 'Hotel
245,Jadu,LY,297.38,clear sky,31.953000000000003,12.0261,امياس للصرافة
248,Sitka,US,289.09,overcast clouds,57.0531,-135.33,Westmark Sitka
249,Hambantota,LK,298.34,few clouds,6.1241,81.1185,Bungalow 63
251,Coolum Beach,AU,294.32,clear sky,-26.5333,153.1,Coolum Beach Resort
252,Asosa,ET,288.03,light rain,10.0667,34.5333,Blendana Hotel Assosa
253,Marasesti,RO,292.93,scattered clouds,45.8833,27.2333,Motel La Rusu
255,Nome,US,285.46,broken clouds,64.5011,-165.4064,Dredge 7 Inn
257,Bantry,IE,287.47,overcast clouds,51.6833,-9.45,The Maritime Hotel
258,Tasiilaq,GL,278.24,overcast clouds,65.6145,-37.6368,The Red House
261,Juli,PE,276.52,few clouds,-16.2167,-69.45,Cordelius Turistico
262,Arcata,US,288.26,fog,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
264,Namibe,AO,289.37,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
265,Houma,US,298.71,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
268,Camacha,PT,292.83,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
271,Bagdarin,RU,285.85,light rain,54.4333,113.6,Gostevoy Dom Terem
272,Krasnoborsk,RU,294.05,clear sky,61.5598,45.934,"Baza Otdykha ""Medvezhiy Ugol"""
274,Aklavik,CA,284.68,overcast clouds,68.2191,-135.0107,Aklavik Inn
280,Axim,GH,297.29,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
281,Likasi,CD,284.3,broken clouds,-10.9814,26.7333,TABERNACLE DE LIKASI
283,Fairlie,GB,283.98,overcast clouds,55.756,-4.8556,Brisbane House Hotel
284,Yalutorovsk,RU,289.7,overcast clouds,56.6536,66.3006,Vorobynoe plato
285,Ahipara,NZ,287.31,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
286,Bradford,GB,287.94,broken clouds,53.7939,-1.7521,The Bradford Hotel
287,Manoel Urbano,BR,297.11,few clouds,-8.8389,-69.2597,Baixada Beira Rio
289,Qaanaaq,GL,275.64,scattered clouds,77.484,-69.3632,Qaanaaq Hotel
290,Iwanai,JP,298.44,broken clouds,42.9744,140.5089,いわない高原ホテル
294,Ponta Do Sol,PT,296.32,clear sky,32.6667,-17.1,Hotel do Campo
296,Port Augusta,AU,291.14,few clouds,-32.5,137.7667,Majestic Oasis Apartments
298,Lagoa,PT,294.89,clear sky,39.05,-27.9833,Casa Das Faias
300,Harrisonburg,US,296.8,clear sky,38.4496,-78.8689,Hampton Inn Harrisonburg - University
301,Morehead,US,299.7,scattered clouds,37.2711,-87.1764,CCI Express Inn
302,Touros,BR,295.77,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
306,Wamba,NG,294.91,light rain,8.9333,8.6,Roma Zee Guest House Annex
308,Grand Gaube,MU,293.92,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
309,Bakchar,RU,295.92,broken clouds,57.0186,82.0711,Gostinitsa Gostevoy Dom
310,Taseyevo,RU,294.26,overcast clouds,57.2169,94.8978,Gostinitsa Taseyevo
311,La Libertad,EC,293.96,light intensity drizzle,-2.2333,-80.9,Playa Canela Hotel Boutique
313,Broken Hill,AU,288.85,clear sky,-31.95,141.4333,Royal Exchange Hotel
314,Cedar City,US,293.69,scattered clouds,37.6775,-113.0619,Hampton Inn Cedar City
315,Manosque,FR,290.36,clear sky,43.8288,5.7869,Hôtel Restaurant Campanile Manosque
316,Brae,GB,283.84,broken clouds,60.3964,-1.3530000000000002,Busta House Hotel
317,Vila Franca Do Campo,PT,295.38,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
318,Grindavik,IS,283.12,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
321,Iqaluit,CA,282.0,broken clouds,63.7506,-68.5145,Frobisher Inn
322,Chapais,CA,292.03,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
323,Mareeba,AU,296.73,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
324,Husavik,IS,284.31,scattered clouds,66.0449,-17.3389,Bjarnabúð
328,Gannan,CN,295.76,light rain,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
329,Coihaique,CL,277.49,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
333,Pisco,PE,288.18,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
334,Sisimiut,GL,278.18,scattered clouds,66.9395,-53.6735,Hotel Sisimiut
337,Gikongoro,RW,289.34,overcast clouds,-2.464,29.5739,FOREST GARDEN Hotel
338,Trinidad,BO,296.97,clear sky,-14.8333,-64.9,Hotel Piesta
339,Yeppoon,AU,293.03,clear sky,-23.1333,150.7333,Villa Mar Colina
340,Mount Gambier,AU,284.05,overcast clouds,-37.8333,140.7667,The Commodore
341,Tallahassee,US,298.33,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
343,Evanston,US,297.25,clear sky,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
344,Gilroy,US,295.07,clear sky,37.0058,-121.5683,Hilton Garden Inn Gilroy
345,Keskin,TR,290.41,clear sky,39.6731,33.6136,Keskin İlçe Müftülüğü İrşat Evi
352,Byron Bay,AU,292.56,clear sky,-28.65,153.6167,Backpackers Inn
353,Buchanan,LR,296.74,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
357,Kyzyl-Suu,KG,297.7,broken clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
359,Brainerd,US,292.16,clear sky,46.358000000000004,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
360,Caravelas,BR,292.81,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
361,Markdale,CA,293.79,moderate rain,44.3168,-80.6497,Danby House
362,Juneau,US,290.15,light rain,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
363,Puerto Quijarro,BO,294.75,clear sky,-17.7833,-57.7667,Hotel palance
364,Rovaniemi,FI,284.82,clear sky,66.5,25.7167,Arctic City Hotel
365,Leningradskiy,RU,277.07,overcast clouds,69.3833,178.4167,Gostinitsa
366,Rocha,UY,291.16,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
367,Faanui,PF,299.04,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
369,Demirci,TR,294.39,clear sky,39.0461,28.6589,Sungur Otel
372,Lamu,KE,295.27,light rain,-2.2717,40.902,Lamu House
373,Sumbe,AO,292.35,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
375,Eyl,SO,298.5,broken clouds,7.9803,49.8164,Amiin Hotel
376,Ferrol,ES,290.77,broken clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
377,Mogadishu,SO,297.7,broken clouds,2.0371,45.3438,Hotel Juba
379,Omboue,GA,294.74,scattered clouds,-1.5746,9.2618,Hotel Olako
381,Bella Union,UY,292.44,few clouds,-30.2752,-57.6007,Saville Free Shop
382,Fairbanks,US,289.6,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
383,Port Macquarie,AU,291.98,clear sky,-31.4333,152.9167,Rydges Port Macquarie
387,Kubinka,RU,295.15,scattered clouds,55.5839,36.69,Khostel Deliki
388,Awjilah,LY,299.43,clear sky,29.1081,21.2869,المنزل
390,Maragogi,BR,295.07,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
392,Wheatley,GB,288.9,overcast clouds,51.7473,-1.1394,The Talkhouse
393,Barra Do Garcas,BR,292.49,clear sky,-15.89,-52.2567,Pousada Tropical
394,Cody,US,296.27,overcast clouds,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
396,Barcelos,PT,290.29,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
397,Sogne,NO,283.54,broken clouds,58.0833,7.8167,Åros Feriesenter
398,Mackay,AU,296.31,clear sky,-21.15,149.2,International Lodge Motel
399,Locri,IT,298.88,clear sky,38.2414,16.2623,Grand Hotel President
401,Kassala,SD,297.11,overcast clouds,15.450999999999999,36.4,Amassi Hotel Gash
402,Mezen,RU,292.29,broken clouds,65.8522,44.24,Gostevoy Dom Everest
403,Acajutla,SV,299.03,light rain,13.5928,-89.8275,Laureles
404,Chiredzi,ZW,285.22,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
406,Kati,ML,296.82,broken clouds,12.7441,-8.0726,Lingot d’or
407,Novorudnyy,RU,291.64,clear sky,51.5026,58.1873,Novorudnyi
410,Tupancireta,BR,289.35,overcast clouds,-29.0806,-53.8358,Hotel Cassino
411,Kostino,RU,291.12,clear sky,58.9097,53.2691,"Кафе-гостиница ""Привал"" бесплатный WiFi, номер 500 руб."
412,Athabasca,CA,297.38,few clouds,54.7169,-113.2854,Athabasca Lodge Motel
414,Kavaratti,IN,299.01,moderate rain,10.5669,72.642,Green leaf
415,Robertsport,LR,297.57,light rain,6.7533,-11.3686,Kwepunha Retreat
416,Imeni Poliny Osipenko,RU,298.85,overcast clouds,52.4201,136.4853,Yubileynaya
417,Alice Springs,AU,293.83,clear sky,-23.7,133.8833,Desert Palms Alice Springs
418,Berlevag,NO,283.15,overcast clouds,70.8578,29.0864,Kvitbrakka
419,Alpena,US,291.33,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
421,Maxixe,MZ,287.05,scattered clouds,-23.8597,35.3472,Oceano
422,Puerto Baquerizo Moreno,EC,294.21,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
423,Laukaa,RU,286.52,clear sky,58.7372,29.8453,U Lysoy Gory Hotel
428,Guerrero Negro,MX,293.45,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
429,Marsa Matruh,EG,298.1,clear sky,31.3525,27.2453,Beau Site
430,Antalaha,MG,293.35,light rain,-14.9003,50.2788,Hotel Vitasoa
434,Rio Gallegos,AR,275.18,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
435,Havoysund,NO,282.28,light rain,70.9963,24.6622,Arctic View Glamping & Restaurant
440,Lasa,IT,286.87,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
441,Zhezkazgan,KZ,299.14,clear sky,47.8043,67.7144,Hotel Zumrat
442,Rio Bueno,CL,278.21,broken clouds,-40.3167,-72.9667,Hostal Caulle
444,Yalta,UA,297.07,clear sky,44.5,34.1667,Yalta Inturist
445,Starodub,RU,288.51,broken clouds,52.5844,32.7633,Apartment Kvartal on Gagarina
446,Comodoro Rivadavia,AR,280.07,clear sky,-45.8667,-67.5,Austral Hotel
447,Maceio,BR,295.84,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
448,Upata,VE,294.17,clear sky,8.0086,-62.3989,Posada Villa Nela
449,Puerto Del Rosario,ES,296.01,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
450,College,US,289.59,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
452,Kenora,CA,288.69,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
453,Mendoza,AR,281.89,broken clouds,-32.8908,-68.8272,Hotel Mendoza
456,Mitsamiouli,KM,297.31,few clouds,-11.3847,43.2844,Foyer ADM
457,Ekangala,ZA,282.82,few clouds,-25.6962,28.7492,Josiah's
458,El Seibo,DO,296.29,clear sky,18.7641,-69.0375,Defensa Civil del Seibo
459,Bandarbeyla,SO,299.07,overcast clouds,9.4942,50.8122,JABIR HOTEL
460,San Ramon,US,294.79,clear sky,37.7799,-121.978,San Ramon Marriott
461,Narsaq,GL,277.78,few clouds,60.9167,-46.05,Sleep In Narsaq
464,Pangnirtung,CA,285.42,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
465,Vrangel,RU,296.19,scattered clouds,42.7297,133.0839,"Отель ""БАЛИ"""
