City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
36,Carrboro,US,35.9101,-79.0753,298.66,95,79,2.24,broken clouds,2022-07-28 03:37:10
37,Esso,RU,55.9333,158.7,290.6,59,96,3.29,light rain,2022-07-28 03:41:42
38,Mayumba,GA,-3.432,10.6554,293.36,89,31,0.76,scattered clouds,2022-07-28 03:41:42
39,Talnakh,RU,69.4865,88.3972,287.71,60,91,5.79,overcast clouds,2022-07-28 03:41:43
40,Rikitea,PF,-23.1203,-134.9692,296.5,67,100,7.98,overcast clouds,2022-07-28 03:41:43
41,Tres Palos,MX,18.1833,-101.6167,295.49,95,100,0.85,overcast clouds,2022-07-28 03:41:44
42,Udala,ES,43.0778,-2.5125,287.67,96,51,0.11,broken clouds,2022-07-28 03:41:44
43,Bell Ville,AR,-32.6259,-62.6887,284.08,81,100,8.14,overcast clouds,2022-07-28 03:41:45
44,Marawi,PH,7.9986,124.2928,299.28,79,80,1.26,broken clouds,2022-07-28 03:41:45
45,Vaini,TO,-21.2,-175.2,299.24,83,20,4.63,few clouds,2022-07-28 03:41:45
46,Panzhihua,CN,26.5851,101.7128,301.54,61,49,0.81,scattered clouds,2022-07-28 03:41:46
47,Castro,BR,-24.7911,-50.0119,286.78,80,90,1.23,overcast clouds,2022-07-28 03:42:46
48,Chokurdakh,RU,70.6333,147.9167,289.83,33,88,6.49,overcast clouds,2022-07-28 03:42:47
49,Saint Anthony,US,45.0205,-93.218,295.68,53,0,5.66,clear sky,2022-07-28 03:41:08
50,Hilo,US,19.7297,-155.09,302.19,77,40,4.12,scattered clouds,2022-07-28 03:42:47
51,Pendencias,BR,-5.26,-36.7222,296.26,70,76,4.22,broken clouds,2022-07-28 03:42:48
52,Busselton,AU,-33.65,115.3333,291.21,68,27,5.61,scattered clouds,2022-07-28 03:42:48
53,Saint George,US,37.1041,-113.5841,296.28,78,40,3.6,scattered clouds,2022-07-28 03:42:49
54,Kodiak,US,57.79,-152.4072,286.88,62,0,3.6,clear sky,2022-07-28 03:42:40
55,Atuona,PF,-9.8,-139.0333,298.5,73,21,10.8,light rain,2022-07-28 03:42:49
56,Terrace Bay,CA,48.7834,-87.1,281.33,98,94,2.62,overcast clouds,2022-07-28 03:42:49
57,Souillac,MU,-20.5167,57.5167,293.36,88,40,3.09,light rain,2022-07-28 03:42:50
58,Dikson,RU,73.5069,80.5464,277.9,94,61,6.03,broken clouds,2022-07-28 03:42:50
59,Saint-Philippe,RE,-21.3585,55.7679,292.92,85,38,4.52,light rain,2022-07-28 03:42:51
60,Pevek,RU,69.7008,170.3133,275.56,86,96,2.68,overcast clouds,2022-07-28 03:42:51
61,Bredasdorp,ZA,-34.5322,20.0403,281.92,91,0,2.55,clear sky,2022-07-28 03:42:51
62,Chicama,PE,-7.8447,-79.1469,287.45,86,39,2.92,scattered clouds,2022-07-28 03:42:52
63,Chuy,UY,-33.6971,-53.4616,288.87,97,100,3.09,light rain,2022-07-28 03:42:42
64,Gusau,NG,12.1628,6.6614,296.71,85,100,2.29,light rain,2022-07-28 03:42:52
65,Torbay,CA,47.6666,-52.7314,290.14,92,100,8.75,mist,2022-07-28 03:42:53
66,Mar Del Plata,AR,-38.0023,-57.5575,283.76,57,100,7.15,overcast clouds,2022-07-28 03:42:25
67,Kongolo,CD,-5.3833,27.0,295.36,51,5,1.02,clear sky,2022-07-28 03:42:53
68,Ulladulla,AU,-35.35,150.4667,288.3,60,37,3.54,scattered clouds,2022-07-28 03:42:54
69,Kapaa,US,22.0752,-159.319,302.14,73,20,7.2,light rain,2022-07-28 03:41:01
70,Sao Felix Do Xingu,BR,-6.6447,-51.995,293.88,59,25,1.16,scattered clouds,2022-07-28 03:42:54
71,Tocopilla,CL,-22.092,-70.1979,289.32,73,94,4.46,overcast clouds,2022-07-28 03:42:55
72,Carnarvon,AU,-24.8667,113.6333,296.85,47,100,1.86,light rain,2022-07-28 03:42:55
73,Finnsnes,NO,69.2296,17.9811,282.49,88,100,1.35,light rain,2022-07-28 03:42:56
74,Cherskiy,RU,68.75,161.3,286.1,47,99,2.75,overcast clouds,2022-07-28 03:42:56
75,Svetlaya,RU,46.5389,138.3297,293.94,80,39,3.69,light rain,2022-07-28 03:42:56
76,Sangar,RU,63.9242,127.4739,300.96,47,5,0.69,clear sky,2022-07-28 03:42:57
77,Sao Filipe,CV,14.8961,-24.4956,298.85,88,92,1.78,overcast clouds,2022-07-28 03:42:57
78,Vao,NC,-22.6667,167.4833,294.02,67,100,3.53,overcast clouds,2022-07-28 03:42:58
79,Beloha,MG,-25.1667,45.05,287.46,80,0,2.14,clear sky,2022-07-28 03:42:59
80,Airai,TL,-8.9266,125.4092,294.82,46,13,2.43,few clouds,2022-07-28 03:42:59
81,Shizunai,JP,42.3339,142.3669,297.06,81,36,4.22,scattered clouds,2022-07-28 03:42:59
82,Ballina,AU,-28.8667,153.5667,292.6,54,0,2.2,clear sky,2022-07-28 03:43:00
83,Paicandu,BR,-23.4575,-52.0486,290.93,59,24,1.46,few clouds,2022-07-28 03:43:00
